First Name,Last Name,Party,Chamber,District,Photo,Email,Phone
Scott,Allen,R,Assembly,82,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2872.jpg,Rep.Allen@legis.wisconsin.gov:mailto:Rep.Allen@legis.wisconsin.gov,(608) 237-9182; (888) 534-0082
Clinton,Anderson,D,Assembly,45,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2706.jpg,Rep.CAnderson@legis.wisconsin.gov:mailto:Rep.CAnderson@legis.wisconsin.gov,(608) 237-9145; (888) 534-0045
Deb,Andraca,D,Assembly,23,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2708.jpg,Rep.Andraca@legis.wisconsin.gov:mailto:Rep.Andraca@legis.wisconsin.gov,(608) 237-9123; (888) 534-0023
David,Armstrong,R,Assembly,67,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2866.jpg,Rep.Armstrong@legis.wisconsin.gov:mailto:Rep.Armstrong@legis.wisconsin.gov,(608) 237-9167; (888) 534-0067
Margaret,Arney,D,Assembly,18,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2882.jpg,Rep.Arney@legis.wisconsin.gov:mailto:Rep.Arney@legis.wisconsin.gov,(608) 237-9118; (888) 534-0018
Tyler,August,R,Assembly,31,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2853.jpg,Rep.August@legis.wisconsin.gov:mailto:Rep.August@legis.wisconsin.gov,(608) 237-9131; (888) 529-0031
Mike,Bare,D,Assembly,80,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2712.jpg,Rep.Bare@legis.wisconsin.gov:mailto:Rep.Bare@legis.wisconsin.gov,(608) 237-9180; (888) 534-0080
Elijah,Behnke,R,Assembly,6,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2845.jpg,Rep.Behnke@legis.wisconsin.gov:mailto:Rep.Behnke@legis.wisconsin.gov,(608) 237-9106; (888) 529-0006
Jill,Billings,D,Assembly,95,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2714.jpg,Rep.Billings@legis.wisconsin.gov:mailto:Rep.Billings@legis.wisconsin.gov,(608) 237-9195; (888) 534-0095
Mark,Born,R,Assembly,37,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2855.jpg,Rep.Born@legis.wisconsin.gov:mailto:Rep.Born@legis.wisconsin.gov,(608) 237-9137; (888) 534-0037
Lindee,Brill,R,Assembly,27,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2884.jpg,Rep.Brill@legis.wisconsin.gov:mailto:Rep.Brill@legis.wisconsin.gov,(608) 237-9127; (888) 529-0027
Robert,Brooks,R,Assembly,59,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2862.jpg,Rep.Rob.Brooks@legis.wisconsin.gov:mailto:Rep.Rob.Brooks@legis.wisconsin.gov,(608) 237-9159; (888) 534-0059
Brienne,Brown,D,Assembly,43,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2888.jpg,Rep.Brown@legis.wisconsin.gov:mailto:Rep.Brown@legis.wisconsin.gov,(608) 237-9143; (888) 534-0043
Calvin,Callahan,R,Assembly,35,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2720.jpg,Rep.Callahan@legis.wisconsin.gov:mailto:Rep.Callahan@legis.wisconsin.gov,(608) 237-9135; (888) 534-0035
Ryan,Clancy,D,Assembly,19,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2721.jpg,Rep.Clancy@legis.wisconsin.gov:mailto:Rep.Clancy@legis.wisconsin.gov,(608) 237-9119; (888) 534-0019
Angelina,Cruz,D,Assembly,62,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2893.jpg,Rep.Cruz@legis.wisconsin.gov:mailto:Rep.Cruz@legis.wisconsin.gov,(608) 237-9162; (888) 534-0062
Alex,Dallman,R,Assembly,39,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2857.jpg,Rep.Dallman@legis.wisconsin.gov:mailto:Rep.Dallman@legis.wisconsin.gov,(608) 237-9139; (888) 534-0039
Karen,DeSanto,D,Assembly,40,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2886.jpg,Rep.DeSanto@legis.wisconsin.gov:mailto:Rep.DeSanto@legis.wisconsin.gov,(608) 237-9140; (888) 947-0040
Ben,DeSmidt,D,Assembly,65,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2894.jpg,Rep.DeSmidt@legis.wisconsin.gov:mailto:Rep.DeSmidt@legis.wisconsin.gov,(608) 237-9165; (888) 534-0065
Barbara,Dittrich,R,Assembly,99,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2877.jpg,Rep.Dittrich@legis.wisconsin.gov:mailto:Rep.Dittrich@legis.wisconsin.gov,(608) 237-9199; (888) 534-0099
Bob,Donovan,R,Assembly,61,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2864.jpg,Rep.Donovan@legis.wisconsin.gov:mailto:Rep.Donovan@legis.wisconsin.gov,(608) 237-9161; (888) 529-0061
Steve,Doyle,D,Assembly,94,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2727.jpg,Rep.Doyle@legis.wisconsin.gov:mailto:Rep.Doyle@legis.wisconsin.gov,(608) 237-9194; (888) 534-0094
Cindi,Duchow,R,Assembly,97,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2876.jpg,Rep.Duchow@legis.wisconsin.gov:mailto:Rep.Duchow@legis.wisconsin.gov,(608) 237-9197; (888) 534-0097
Jodi,Emerson,D,Assembly,91,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2731.jpg,Rep.Emerson@legis.wisconsin.gov:mailto:Rep.Emerson@legis.wisconsin.gov,(608) 237-9191; (888) 534-0091
Joan,Fitzgerald,D,Assembly,46,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2890.jpg,Rep.Fitzgerald@legis.wisconsin.gov:mailto:Rep.Fitzgerald@legis.wisconsin.gov,(608) 237-9146; (888) 534-0046
Benjamin,Franklin,R,Assembly,88,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2900.jpg,Rep.Franklin@legis.wisconsin.gov:mailto:Rep.Franklin@legis.wisconsin.gov,(608) 237-9188; (888) 534-0088
Joy,Goeben,R,Assembly,5,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2732.jpg,Rep.Goeben@legis.wisconsin.gov:mailto:Rep.Goeben@legis.wisconsin.gov,(608) 237-9105; (888) 534-0005
Russell,Goodwin,D,Assembly,12,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2906.jpg,Rep.Goodwin@legis.wisconsin.gov:mailto:Rep.Goodwin@legis.wisconsin.gov,(608) 237-9112; (888) 534-0012
Chanz,Green,R,Assembly,74,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2734.jpg,Rep.Green@legis.wisconsin.gov:mailto:Rep.Green@legis.wisconsin.gov,(608) 237-9174; (888) 534-0074
Rick,Gundrum,R,Assembly,58,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2735.jpg,Rep.Gundrum@legis.wisconsin.gov:mailto:Rep.Gundrum@legis.wisconsin.gov,(608) 237-9158; (888) 534-0058
Nate,Gustafson,R,Assembly,55,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2736.jpg,Rep.Gustafson@legis.wisconsin.gov:mailto:Rep.Gustafson@legis.wisconsin.gov,(608) 237-9155; (888) 534-0055
Kalan,Haywood,D,Assembly,16,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2737.jpg,Rep.Haywood@legis.wisconsin.gov:mailto:Rep.Haywood@legis.wisconsin.gov,(608) 237-9116; (888) 534-0016
Francesca,Hong,D,Assembly,76,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2738.jpg,Rep.Hong@legis.wisconsin.gov:mailto:Rep.Hong@legis.wisconsin.gov,(608) 237-9176; (888) 534-0076
Karen,Hurd,R,Assembly,69,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2868.jpg,Rep.Hurd@legis.wisconsin.gov:mailto:Rep.Hurd@legis.wisconsin.gov,(608) 237-9169; (888) 534-0069
Andrew,Hysell,D,Assembly,48,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2892.jpg,Rep.Hysell@legis.wisconsin.gov:mailto:Rep.Hysell@legis.wisconsin.gov,(608) 237-9148; (888) 534-0048
Brent,Jacobson,R,Assembly,87,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2899.jpg,Rep.Brent.Jacobson@legis.wisconsin.gov:mailto:Rep.Brent.Jacobson@legis.wisconsin.gov,(608) 237-9187
Jenna,Jacobson,D,Assembly,50,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2859.jpg,Rep.Jacobson@legis.wisconsin.gov:mailto:Rep.Jacobson@legis.wisconsin.gov,(608) 237-9150
Alex,Joers,D,Assembly,81,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2871.jpg,Rep.Joers@legis.wisconsin.gov:mailto:Rep.Joers@legis.wisconsin.gov,(608) 237-9181
Tara,Johnson,D,Assembly,96,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2904.jpg,Rep.Johnson@legis.wisconsin.gov:mailto:Rep.Johnson@legis.wisconsin.gov,(608) 237-9196
Dean,Kaufert,R,Assembly,53,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2852.jpg,Rep.Kaufert@legis.wisconsin.gov:mailto:Rep.Kaufert@legis.wisconsin.gov,(608) 237-9153
Karen,Kirsch,D,Assembly,7,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2878.jpg,Rep.Kirsch@legis.wisconsin.gov:mailto:Rep.Kirsch@legis.wisconsin.gov,(608) 237-9107
Joel,Kitchens,R,Assembly,1,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2744.jpg,Rep.Kitchens@legis.wisconsin.gov:mailto:Rep.Kitchens@legis.wisconsin.gov,(608) 237-9101
Daniel,Knodl,R,Assembly,24,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2849.jpg,Rep.Knodl@legis.wisconsin.gov:mailto:Rep.Knodl@legis.wisconsin.gov,(608) 237-9124
Rob,Kreibich,R,Assembly,28,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2885.jpg,Rep.Kreibich@legis.wisconsin.gov:mailto:Rep.Kreibich@legis.wisconsin.gov,(608) 237-9128
Scott,Krug,R,Assembly,72,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2745.jpg,Rep.Krug@legis.wisconsin.gov:mailto:Rep.Krug@legis.wisconsin.gov,(608) 237-9172
Tony,Kurtz,R,Assembly,41,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2858.jpg,Rep.Kurtz@legis.wisconsin.gov:mailto:Rep.Kurtz@legis.wisconsin.gov,(608) 237-9141
Darrin,Madison,D,Assembly,10,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2748.jpg,Rep.Madison@legis.wisconsin.gov:mailto:Rep.Madison@legis.wisconsin.gov,(608) 237-9110
Dave,Maxey,R,Assembly,83,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2873.jpg,Rep.Maxey@legis.wisconsin.gov:mailto:Rep.Maxey@legis.wisconsin.gov,(608) 237-9183
Renuka,Mayadev,D,Assembly,77,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2898.jpg,Rep.Mayadev@legis.wisconsin.gov:mailto:Rep.Mayadev@legis.wisconsin.gov,(608) 237-9177
Maureen,McCarville,D,Assembly,42,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2887.jpg,Rep.McCarville@legis.wisconsin.gov:mailto:Rep.McCarville@legis.wisconsin.gov,(608) 237-9142
Tip,McGuire,D,Assembly,64,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2751.jpg,Rep.McGuire@legis.wisconsin.gov:mailto:Rep.McGuire@legis.wisconsin.gov,(608) 237-9164
Paul,Melotik,R,Assembly,22,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2848.jpg,Rep.Melotik@legis.wisconsin.gov:mailto:Rep.Melotik@legis.wisconsin.gov,(608) 237-9122
Vincent,Miresse,D,Assembly,71,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2895.jpg,Rep.Miresse@legis.wisconsin.gov:mailto:Rep.Miresse@legis.wisconsin.gov,(608) 237-9171
Supreme,Moore Omokunde,D,Assembly,17,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2754.jpg,Rep.MooreOmokunde@legis.wisconsin.gov:mailto:Rep.MooreOmokunde@legis.wisconsin.gov,(608) 237-9117
